,Name,Nationality,Year of Birth
530,Atsumi ASHIWA,JPN,1995.0
531,Yuma NOZAWA,JPN,2004.0
532,Jack RAYNER,AUS,1995.0
533,Viktor IDHAMMAR,SWE,2003.0
534,Ahmed OUHDA,ITA,1997.0
535,Yusuke KODAMA,JPN,2000.0
536,Haftamu GEBRESILASE,ETH,2004.0
537,Pietro RIVA,ITA,1997.0
538,Fouad MESSAOUDI,MAR,2001.0
539,Yuta BANDO,JPN,1996.0
540,Mike FOPPEN,NED,1996.0
541,Mizuki HIGASHI,JPN,1994.0
542,Christoph KESSLER,GER,1995.0
543,Kyle HARKABUS,USA,
544,Donald MITEI,KEN,1996.0
545,Hazuma HATTORI,JPN,1995.0
546,Santtu HEIKKINEN,FIN,2002.0
547,Raphael KOLIAN,KEN,2001.0
548,Shungo YOKOTA,JPN,2000.0
549,Samuel FITWI SIBHATU,GER,1996.0
550,Abdullahi Dahir RABI,NOR,2003.0
551,Clement TOUATI,FRA,2000.0
552,Moses KEMEI,KEN,1993.0
553,Diego Javier LACAMOIRE,ARG,1998.0
554,Aritaka KAJIWARA,JPN,1988.0
555,Taisei KIYONO,JPN,2000.0
556,Baldvin MAGNUSSON,ISL,1999.0
557,Eric HAMER,USA,1997.0
558,Paul TIONGIK,KEN,1990.0
559,Konstantin KHOLMOGOROV,RUS,1996.0
560,Felix KIPKOECH,KEN,1998.0
561,Vincent Kibor RAIMOI,KEN,1996.0
562,Bob LIKING,USA,2002.0
563,Liam MURPHY,USA,2002.0
564,Alexis MIELLET,FRA,1995.0
565,Romain MORNET,FRA,1997.0
566,Anthony KIBE,KEN,2003.0
567,Ryoma TAKEUCHI,JPN,1992.0
568,Victor Kipruto TOGOM,KEN,1996.0
569,Javier GUERRA,ESP,1983.0
570,Hicham WASMI,MAR,2000.0
571,Boki DIRIBA,ETH,2004.0
572,Canaan ANDERSON,USA,
573,Zachary FACIONI,AUS,1999.0
574,Altobeli SILVA,BRA,1990.0
575,Titus WANBUA,KEN,1997.0
576,Raphael LONGISA,KEN,2003.0
577,Ferenc Soma KOVÁCS,HUN,2004.0
578,Hicham AMGHAR,MAR,1994.0
579,Osian PERRIN,GBR,2003.0
580,Peter WANJIRU,KEN,1982.0
581,Mohamed ESA,ETH,2000.0
582,Shay MCEVOY,IRL,2001.0
583,Mitku TAFA,ETH,
584,Ezekiel ROP,KEN,
585,Petro MAMU,ERI,1985.0
586,Geoffrey KIPROTICH BIRGEN,KEN,1984.0
587,Abdisa FAYISA,ETH,2005.0
588,Matthew PAYAMPS,DOM,2001.0
589,Halefom TESFAYE,ETH,2004.0
590,Kenneth KETER,KEN,1996.0
591,Hideyuki TANAKA,JPN,1990.0
592,Tyler BILYARD,GBR,2001.0
593,Eemil HELANDER,FIN,2001.0
594,Isaac Kibet NDIEMA,KEN,1999.0
595,Carlos SAN MARTÍN,COL,1993.0
596,Bethwell KIPKEMBOI,KEN,1993.0
597,Christian PACHECO,PER,1993.0
598,Mehdi FRÈRE,FRA,1996.0
599,Abdi Ali GELELCHU,BRN,1997.0
600,Reo KUNIYUKI,JPN,1996.0
601,Scott FAUBLE,USA,1991.0
602,Goki TAKAYAMA,JPN,2003.0
603,Brian Muange MUSAU,KEN,2006.0
604,Gulveer SINGH,IND,1998.0
605,Guojian DONG,CHN,1987.0
606,Nibret MELAK,ETH,1999.0
607,Fayez ALSUBAIE,KSA,2001.0
608,Sergio PANIAGUA,ESP,1995.0
609,Emmanuel BOR,USA,1988.0
610,Rei YAMAHIRA,JPN,2002.0
611,Peter LYNCH,IRL,1997.0
612,Telahun Haile BEKELE,ETH,1999.0
613,David NILSSON,SWE,1987.0
614,Melaku BELACHEW,ETH,1990.0
615,Kenenisa BEKELE,ETH,1982.0
616,Titus Kimutai KIPKOSGEI,KEN,1998.0
617,Pius Dominic ONDORO,KEN,1988.0
618,Benjamin WEST,GBR,2000.0
619,Mahadi ABDI ALI,NED,1995.0
620,Hendrik PFEIFFER,GER,1993.0
621,Jhye HADFIELD,AUS,2004.0
622,Zakariya MAHAMED,GBR,2000.0
623,Tolosa GELETO,ETH,2001.0
624,Hiribo SHANO,ETH,1999.0
625,Daniel MUNGUTI,KEN,1995.0
626,Jonas RAESS,SUI,1994.0
627,Yared NUGUSE,USA,1999.0
628,Tom FÖRSTER,GER,2002.0
629,Sodai SHIMIZU,JPN,1998.0
630,David MULLARKEY,GBR,2000.0
631,Richard DOUMA,NED,1993.0
632,Alberto GONZALEZ MINDEZ,GUA,1996.0
633,Laban KIPLIMO,KEN,
634,Deresa GELETA,ETH,1996.0
635,Dongsheng XIE,CHN,2001.0
636,Pietro ARESE,ITA,1999.0
